side,bucket,net_pnl,trades
SELL,Greed,84.14412463059085,47779
BUY,Greed,17.754471150970968,42516
SELL,Fear,41.12109656842406,42032
BUY,Fear,54.64186813625672,41205
BUY,Neutral,28.35935827629971,18969
SELL,Neutral,38.232502009029226,18717
