bucket,trades,accounts,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_trade_usd
Greed,90295,31,4775171.226179682,52.884115689458795,-0.00504098,0.4251065950495598,4574.424489617366
Fear,83237,32,3979920.1075184583,47.814314637942964,-0.005821,0.4004469166356308,7182.011019498541
Neutral,37686,31,1253546.4072461291,33.262920109487055,-0.007516,0.39590298784694583,4782.732661465797
